purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.4500	0.9689	0.6611	0.0000	2.1200	0.0000
0.8100	0.5319	0.6613	0.0000	4.1500	0.0000
0.5900	1.4114	0.6627	0.0000	1.0000	0.0000
0.5800	1.3571	0.6628	0.0000	1.0800	0.0000
0.5100	0.5479	0.6635	0.0000	5.2000	0.0000
0.4500	0.9731	0.6662	0.0000	2.1000	0.0000
0.4300	0.9823	0.6664	0.0000	2.0600	0.0000
0.4400	0.9571	0.6668	0.0000	2.1800	0.0000
0.7200	1.5547	0.6670	0.0000	1.0000	0.0000
0.7100	0.5700	0.6677	0.0000	4.1000	0.0000
0.6500	1.4462	0.6695	0.0000	1.0400	0.0000
0.7900	0.5498	0.6698	0.0000	4.0500	0.0000
0.8100	0.5377	0.6700	0.0000	4.1000	0.0000
0.5900	1.3439	0.6701	0.0000	1.1200	0.0000
0.7100	0.5759	0.6713	0.0000	4.0500	0.0000
0.3400	0.8323	0.6714	0.0000	3.1500	0.0000
0.4300	0.9579	0.6746	0.0000	2.1800	0.0000
0.8200	0.5288	0.6773	0.0000	4.1500	0.0000
0.5500	1.3621	0.6776	0.0000	1.0200	0.0000
0.4400	0.9863	0.6809	0.0000	2.0400	0.0000
0.4500	0.9563	0.6810	0.0000	2.1800	0.0000
0.4900	0.5577	0.6810	0.0000	5.2000	0.0000
0.5200	0.5431	0.6861	0.0000	5.2000	0.0000
0.5500	1.3519	0.6863	0.0000	1.0400	0.0000
0.8200	0.5347	0.6866	0.0000	4.1000	0.0000
0.7300	1.5670	0.6891	0.0000	1.0000	0.0000
0.6300	1.3766	0.6897	0.0000	1.1200	0.0000
0.4500	0.9774	0.6898	0.0000	2.0800	0.0000
0.7200	0.5609	0.6899	0.0000	4.1500	0.0000
0.5100	0.5557	0.6920	0.0000	5.1000	0.0000
0.5000	0.5606	0.6923	0.0000	5.1000	0.0000
0.4900	0.5655	0.6928	0.0000	5.1000	0.0000
0.7000	0.5793	0.6930	0.0000	4.0500	0.0000
0.4300	0.9865	0.6944	0.0000	2.0400	0.0000
0.4200	0.9745	0.6957	0.0000	2.1000	0.0000
0.5800	1.4014	0.6957	0.0000	1.0000	0.0000
0.8000	0.5467	0.6970	0.0000	4.0500	0.0000
0.4200	0.9786	0.6971	0.0000	2.0800	0.0000
0.6400	1.4231	0.7009	0.0000	1.0600	0.0000
0.4400	0.9531	0.7019	0.0000	2.2000	0.0000
0.5400	1.3530	0.7025	0.0000	1.0200	0.0000
0.7000	0.5735	0.7036	0.0000	4.1000	0.0000
0.4200	0.9706	0.7036	0.0000	2.1200	0.0000
0.5400	1.3334	0.7042	0.0000	1.0600	0.0000
0.3400	0.8206	0.7051	0.0000	3.2500	0.0000
0.4800	0.5705	0.7054	0.0000	5.1000	0.0000
0.3800	0.5534	0.7071	0.0000	6.2000	0.0000
0.5800	1.3464	0.7073	0.0000	1.1000	0.0000
0.7400	1.5794	0.7084	0.0000	1.0000	0.0000
0.6600	1.4564	0.7106	0.0000	1.0400	0.0000
